Club_ID,Club,Club_Logo
C00130,"Hellas Verona",https://cdn.sofifa.org/teams/2/light/206.png
C00131,Parma,https://cdn.sofifa.org/teams/2/light/50.png
C00132,"US Cremonese",https://cdn.sofifa.org/teams/2/light/111434.png
C00133,Brescia,https://cdn.sofifa.org/teams/2/light/190.png
C00134,"US Salernitana 1919",https://cdn.sofifa.org/teams/2/light/110373.png
C00135,Genoa,https://cdn.sofifa.org/teams/2/light/110556.png
C00136,Vitesse,https://cdn.sofifa.org/teams/2/light/1909.png
C00137,"Tottenham Hotspur",https://cdn.sofifa.org/teams/2/light/18.png
C00138,Excelsior,https://cdn.sofifa.org/teams/2/light/1971.png
C00139,"Karlsruher SC",https://cdn.sofifa.org/teams/2/light/1832.png
C00140,"1. FC Kaiserslautern",https://cdn.sofifa.org/teams/2/light/29.png
C00141,Empoli,https://cdn.sofifa.org/teams/2/light/1746.png
C00142,"KAS Eupen",https://cdn.sofifa.org/teams/2/light/2013.png
C00143,"AC Horsens",https://cdn.sofifa.org/teams/2/light/1446.png
C00144,"Grimsby Town",https://cdn.sofifa.org/teams/2/light/92.png
C00145,"Rotherham United",https://cdn.sofifa.org/teams/2/light/1797.png
C00146,Stevenage,https://cdn.sofifa.org/teams/2/light/361.png
C00147,"Southend United",https://cdn.sofifa.org/teams/2/light/1954.png
C00148,"St. Johnstone FC",https://cdn.sofifa.org/teams/2/light/100804.png
C00149,"Bolton Wanderers",https://cdn.sofifa.org/teams/2/light/4.png
C00150,"Houston Dynamo",https://cdn.sofifa.org/teams/2/light/698.png
C00151,"Górnik Zabrze",https://cdn.sofifa.org/teams/2/light/420.png
C00152,"Brisbane Roar",https://cdn.sofifa.org/teams/2/light/111395.png
C00153,"FC Lugano",https://cdn.sofifa.org/teams/2/light/10032.png
C00154,"Plymouth Argyle",https://cdn.sofifa.org/teams/2/light/1929.png
C00155,Liverpool,https://cdn.sofifa.org/teams/2/light/9.png
C00156,"Hamilton Academical FC",https://cdn.sofifa.org/teams/2/light/184.png
C00157,"Ipswich Town",https://cdn.sofifa.org/teams/2/light/94.png
C00158,"Shandong Luneng TaiShan FC",https://cdn.sofifa.org/teams/2/light/111724.png
C00159,"Viktoria Plze?",https://cdn.sofifa.org/teams/2/light/110468.png
C00160,"Sheffield Wednesday",https://cdn.sofifa.org/teams/2/light/1807.png
C00161,Bologna,https://cdn.sofifa.org/teams/2/light/189.png
C00162,"Oldham Athletic",https://cdn.sofifa.org/teams/2/light/1920.png
C00163,"Stoke City",https://cdn.sofifa.org/teams/2/light/1806.png
C00164,"River Plate",https://cdn.sofifa.org/teams/2/light/1876.png
C00165,"Macclesfield Town",https://cdn.sofifa.org/teams/2/light/1959.png
C00166,"Milton Keynes Dons",https://cdn.sofifa.org/teams/2/light/1798.png
C00167,"CD Feirense",https://cdn.sofifa.org/teams/2/light/10019.png
C00168,"Club Atlético Colón",https://cdn.sofifa.org/teams/2/light/110406.png
C00169,"Patriotas Boyacá FC",https://cdn.sofifa.org/teams/2/light/112527.png
C00170,"Club Tijuana",https://cdn.sofifa.org/teams/2/light/111678.png
C00171,Guadalajara,https://cdn.sofifa.org/teams/2/light/1880.png
C00172,"FC St. Gallen",https://cdn.sofifa.org/teams/2/light/898.png
C00173,"Chievo Verona",https://cdn.sofifa.org/teams/2/light/192.png
C00174,"Derby County",https://cdn.sofifa.org/teams/2/light/91.png
C00175,"Notts County",https://cdn.sofifa.org/teams/2/light/1937.png
C00176,"Port Vale",https://cdn.sofifa.org/teams/2/light/1928.png
C00177,"Suwon Samsung Bluewings",https://cdn.sofifa.org/teams/2/light/983.png
C00178,"Wycombe Wanderers",https://cdn.sofifa.org/teams/2/light/1933.png
C00179,"Lobos BUAP",https://cdn.sofifa.org/teams/2/light/111035.png
C00180,"Aston Villa",https://cdn.sofifa.org/teams/2/light/2.png
C00181,"Blackburn Rovers",https://cdn.sofifa.org/teams/2/light/3.png
C00182,"RSC Anderlecht",https://cdn.sofifa.org/teams/2/light/229.png
C00183,"Gimnasia y Esgrima La Plata",https://cdn.sofifa.org/teams/2/light/101084.png
C00184,"Olympique Lyonnais",https://cdn.sofifa.org/teams/2/light/66.png
C00185,Sunderland,https://cdn.sofifa.org/teams/2/light/106.png
C00186,"Guizhou Hengfeng FC",https://cdn.sofifa.org/teams/2/light/112977.png
C00187,Pachuca,https://cdn.sofifa.org/teams/2/light/110147.png
C00188,"Club Necaxa",https://cdn.sofifa.org/teams/2/light/101121.png
C00189,"Kashima Antlers",https://cdn.sofifa.org/teams/2/light/101147.png
C00190,"Nagoya Grampus",https://cdn.sofifa.org/teams/2/light/112092.png
C00191,"Gamba Osaka",https://cdn.sofifa.org/teams/2/light/112093.png
C00192,"Júbilo Iwata",https://cdn.sofifa.org/teams/2/light/101144.png
C00193,Roma,https://cdn.sofifa.org/teams/2/light/52.png
C00194,"Derry City",https://cdn.sofifa.org/teams/2/light/445.png
C00195,"Cardiff City",https://cdn.sofifa.org/teams/2/light/1961.png
C00196,"Queens Park Rangers",https://cdn.sofifa.org/teams/2/light/15.png
C00197,"Burton Albion",https://cdn.sofifa.org/teams/2/light/15015.png
C00198,"Doncaster Rovers",https://cdn.sofifa.org/teams/2/light/142.png
C00199,"Heart of Midlothian",https://cdn.sofifa.org/teams/2/light/80.png
C00200,Livorno,https://cdn.sofifa.org/teams/2/light/1844.png
C00201,"Hull City",https://cdn.sofifa.org/teams/2/light/1952.png
C00202,"Vålerenga Fotball",https://cdn.sofifa.org/teams/2/light/920.png
C00203,"FC Wacker Innsbruck",https://cdn.sofifa.org/teams/2/light/2045.png
C00204,"Shonan Bellmare",https://cdn.sofifa.org/teams/2/light/113161.png
C00205,"SV Zulte-Waregem",https://cdn.sofifa.org/teams/2/light/15005.png
C00206,"Randers FC",https://cdn.sofifa.org/teams/2/light/1786.png
C00207,"Al Fayha",https://cdn.sofifa.org/teams/2/light/113057.png
C00208,"Cork City",https://cdn.sofifa.org/teams/2/light/422.png
C00209,"CF Rayo Majadahonda",https://cdn.sofifa.org/teams/2/light/110066.png
C00210,"CD Tenerife",https://cdn.sofifa.org/teams/2/light/260.png
C00211,"Club Atlético Huracán",https://cdn.sofifa.org/teams/2/light/111711.png
C00212,"Estudiantes de La Plata",https://cdn.sofifa.org/teams/2/light/101083.png
C00213,"Racing Club",https://cdn.sofifa.org/teams/2/light/101085.png
C00214,"Hebei China Fortune FC",https://cdn.sofifa.org/teams/2/light/112978.png
C00215,"Unión de Santa Fe",https://cdn.sofifa.org/teams/2/light/111716.png
C00216,"Club Atlético Tigre",https://cdn.sofifa.org/teams/2/light/111715.png
C00217,"San Lorenzo de Almagro",https://cdn.sofifa.org/teams/2/light/1013.png
C00218,"West Ham United",https://cdn.sofifa.org/teams/2/light/19.png
C00219,"San Martín de San Juan",https://cdn.sofifa.org/teams/2/light/111713.png
C00220,"Vélez Sarsfield",https://cdn.sofifa.org/teams/2/light/101088.png
C00221,"Defensa y Justicia",https://cdn.sofifa.org/teams/2/light/111710.png
C00222,"Shakhtar Donetsk",https://cdn.sofifa.org/teams/2/light/101059.png
C00223,"Club Atlético Talleres",https://cdn.sofifa.org/teams/2/light/112670.png
C00224,"Villarreal CF",https://cdn.sofifa.org/teams/2/light/483.png
C00225,"Belgrano de Córdoba",https://cdn.sofifa.org/teams/2/light/111022.png
C00226,"CD Universidad de Concepción",https://cdn.sofifa.org/teams/2/light/112534.png
C00227,"Boca Juniors",https://cdn.sofifa.org/teams/2/light/1877.png
C00228,"Rosario Central",https://cdn.sofifa.org/teams/2/light/110580.png
C00229,"Universidad de Chile",https://cdn.sofifa.org/teams/2/light/15029.png
C00230,Atalanta,https://cdn.sofifa.org/teams/2/light/39.png
C00231,"América de Cali",https://cdn.sofifa.org/teams/2/light/101099.png
C00232,"Club Atlético Aldosivi",https://cdn.sofifa.org/teams/2/light/111707.png
C00233,Antalyaspor,https://cdn.sofifa.org/teams/2/light/741.png
C00234,"Medipol Ba?ak?ehir FK",https://cdn.sofifa.org/teams/2/light/101014.png
C00235,"MKE Ankaragücü",https://cdn.sofifa.org/teams/2/light/101007.png
C00236,"FC Luzern",https://cdn.sofifa.org/teams/2/light/897.png
C00237,"Dundee FC",https://cdn.sofifa.org/teams/2/light/180.png
C00238,"BB Erzurumspor",https://cdn.sofifa.org/teams/2/light/749.png
C00239,"Borussia Mönchengladbach",https://cdn.sofifa.org/teams/2/light/23.png
C00240,"Perth Glory",https://cdn.sofifa.org/teams/2/light/111399.png
C00241,"Brighton & Hove Albion",https://cdn.sofifa.org/teams/2/light/1808.png
C00242,"AD Alcorcón",https://cdn.sofifa.org/teams/2/light/100831.png
C00243,"Shimizu S-Pulse",https://cdn.sofifa.org/teams/2/light/101149.png
C00244,"CD Lugo",https://cdn.sofifa.org/teams/2/light/110831.png
C00245,"Gimnàstic de Tarragona",https://cdn.sofifa.org/teams/2/light/15019.png
C00246,"Albacete BP",https://cdn.sofifa.org/teams/2/light/1854.png
C00247,"CD Numancia",https://cdn.sofifa.org/teams/2/light/477.png
C00248,"Sevilla FC",https://cdn.sofifa.org/teams/2/light/481.png
C00249,"Deportivo de La Coruña",https://cdn.sofifa.org/teams/2/light/242.png
C00250,"Atlético Madrid",https://cdn.sofifa.org/teams/2/light/240.png
C00251,"CD Leganés",https://cdn.sofifa.org/teams/2/light/100888.png
C00252,"Legia Warszawa",https://cdn.sofifa.org/teams/2/light/1871.png
C00253,"CA Osasuna",https://cdn.sofifa.org/teams/2/light/479.png
C00254,"Spartak Moscow",https://cdn.sofifa.org/teams/2/light/100767.png
C00255,"Lokomotiv Moscow",https://cdn.sofifa.org/teams/2/light/100765.png
C00256,"PFC CSKA Moscow",https://cdn.sofifa.org/teams/2/light/315.png
C00257,"Málaga CF",https://cdn.sofifa.org/teams/2/light/573.png
C00258,"Lechia Gda?sk",https://cdn.sofifa.org/teams/2/light/111091.png
C00259,"KSV Cercle Brugge",https://cdn.sofifa.org/teams/2/light/1750.png
C00260,"Al Hilal",https://cdn.sofifa.org/teams/2/light/605.png
C00261,"Odds BK",https://cdn.sofifa.org/teams/2/light/1456.png
C00262,"Sandefjord Fotball",https://cdn.sofifa.org/teams/2/light/1757.png
C00263,"Strømsgodset IF",https://cdn.sofifa.org/teams/2/light/922.png
C00264,Ajax,https://cdn.sofifa.org/teams/2/light/245.png
C00265,"VfL Wolfsburg",https://cdn.sofifa.org/teams/2/light/175.png
C00266,Foggia,https://cdn.sofifa.org/teams/2/light/110911.png
C00267,Crotone,https://cdn.sofifa.org/teams/2/light/110734.png
C00268,"Melbourne Victory",https://cdn.sofifa.org/teams/2/light/111397.png
C00269,Torino,https://cdn.sofifa.org/teams/2/light/54.png
C00270,Dundalk,https://cdn.sofifa.org/teams/2/light/837.png
C00271,"SV Werder Bremen",https://cdn.sofifa.org/teams/2/light/38.png
C00272,"VfB Stuttgart",https://cdn.sofifa.org/teams/2/light/36.png
C00273,"Vissel Kobe",https://cdn.sofifa.org/teams/2/light/101146.png
C00274,"OGC Nice",https://cdn.sofifa.org/teams/2/light/72.png
C00275,"Sporting de Charleroi",https://cdn.sofifa.org/teams/2/light/670.png
C00276,"Paris FC",https://cdn.sofifa.org/teams/2/light/111817.png
C00277,"Esbjerg fB",https://cdn.sofifa.org/teams/2/light/1445.png
C00278,Southampton,https://cdn.sofifa.org/teams/2/light/17.png
C00279,"SCR Altach",https://cdn.sofifa.org/teams/2/light/15009.png
C00280,"Bayer 04 Leverkusen",https://cdn.sofifa.org/teams/2/light/32.png
C00281,Portsmouth,https://cdn.sofifa.org/teams/2/light/1790.png
C00282,"Molde FK",https://cdn.sofifa.org/teams/2/light/417.png
C00283,Gillingham,https://cdn.sofifa.org/teams/2/light/1802.png
C00284,"Accrington Stanley",https://cdn.sofifa.org/teams/2/light/110313.png
C00285,"Crystal Palace",https://cdn.sofifa.org/teams/2/light/1799.png
